"gene_id","biotype","source"
"AT4G06675","lnc_exonic_antisense","araport11"
"AT4G06935","lnc_exonic_antisense","araport11"
"AT4G06980","lnc_exonic_antisense","araport11"
"AT4G07385","lnc_exonic_antisense","araport11"
"AT4G07925","lnc_exonic_antisense","araport11"
"AT4G08205","lnc_exonic_antisense","araport11"
"AT4G09105","lnc_exonic_antisense","araport11"
"AT4G09432","lnc_exonic_antisense","araport11"
"AT4G17098","lnc_exonic_antisense","araport11"
"AT4G20362","lnc_exonic_antisense","araport11"
"AT4G22233","lnc_exonic_antisense","araport11"
"AT4G26542","lnc_exonic_antisense","araport11"
"AT4G26582","lnc_exonic_antisense","araport11"
"AT4G26795","lnc_exonic_antisense","araport11"
"AT4G27852","lnc_exonic_antisense","araport11"
"AT4G37553","lnc_exonic_antisense","araport11"
"AT4G38932","lnc_exonic_antisense","araport11"
"AT4G39838","lnc_exonic_antisense","araport11"
"AT4G40085","lnc_exonic_antisense","araport11"
"AT5G00875","lnc_exonic_antisense","araport11"
"AT5G01215","lnc_exonic_antisense","araport11"
"AT5G01295","lnc_exonic_antisense","araport11"
"AT5G01405","lnc_exonic_antisense","araport11"
"AT5G01542","lnc_exonic_antisense","araport11"
"AT5G02055","lnc_exonic_antisense","araport11"
"AT5G02085","lnc_exonic_antisense","araport11"
"AT5G02485","lnc_exonic_antisense","araport11"
"AT5G02885","lnc_exonic_antisense","araport11"
"AT5G03635","lnc_exonic_antisense","araport11"
"AT5G04325","lnc_exonic_antisense","araport11"
"AT5G05435","lnc_exonic_antisense","araport11"
"AT5G05705","lnc_exonic_antisense","araport11"
"AT5G06865","lnc_exonic_antisense","araport11"
"AT5G07995","lnc_exonic_antisense","araport11"
"AT5G08175","lnc_exonic_antisense","araport11"
"AT5G08445","lnc_exonic_antisense","araport11"
"AT5G09025","lnc_exonic_antisense","araport11"
"AT5G09125","lnc_exonic_antisense","araport11"
"AT5G09365","lnc_exonic_antisense","araport11"
"AT5G09443","lnc_exonic_antisense","araport11"
"AT5G10965","lnc_exonic_antisense","araport11"
"AT5G36002","lnc_exonic_antisense","araport11"
"AT5G38212","lnc_exonic_antisense","araport11"
"AT5G40348","lnc_exonic_antisense","araport11"
"AT5G42092","lnc_exonic_antisense","araport11"
"AT5G48775","lnc_exonic_antisense","araport11"
"AT5G49138","lnc_exonic_antisense","araport11"
"AT5G54569","lnc_exonic_antisense","araport11"
"AT5G59662","lnc_exonic_antisense","araport11"
"AT5G59732","lnc_exonic_antisense","araport11"
"AT5G60022","lnc_exonic_antisense","araport11"
"AT5G63195","lnc_exonic_antisense","araport11"
"AT5G65575","lnc_exonic_antisense","araport11"
"ATlnc_10","lnc_exonic_antisense","DevSeq"
"ATlnc_1000","lnc_exonic_antisense","DevSeq"
"ATlnc_1001","lnc_exonic_antisense","DevSeq"
"ATlnc_1005","lnc_exonic_antisense","DevSeq"
